ID,SI,VV,AR,SG
162,Intuitive,Visual,Reflective,Sequential
163,Intuitive,Verbal,Active,Sequential
164,Intuitive,Visual,Active,Global
165,Intuitive,Verbal,Reflective,Global
166,Sensing,Verbal,Active,Global
167,Sensing,Visual,Reflective,Sequential
168,Intuitive,Verbal,Reflective,Global
169,Intuitive,Verbal,Active,Global
170,Sensing,Visual,Active,Global
171,Sensing,Visual,Active,Global
172,Sensing,Verbal,Reflective,Global
173,Intuitive,Visual,Active,Global
174,Sensing,Verbal,Active,Global
175,Sensing,Verbal,Reflective,Global
176,Sensing,Visual,Active,Global
177,Intuitive,Verbal,Active,Sequential
178,Sensing,Visual,Active,Sequential
179,Intuitive,Verbal,Active,Global
180,Intuitive,Verbal,Active,Global
181,Sensing,Verbal,Active,Sequential
182,Intuitive,Verbal,Active,Sequential
183,Intuitive,Verbal,Active,Sequential
184,Sensing,Visual,Active,Global
185,Sensing,Verbal,Active,Sequential
186,Intuitive,Visual,Reflective,Sequential
187,Sensing,Verbal,Active,Global
188,Intuitive,Verbal,Active,Global
189,Intuitive,Visual,Reflective,Sequential
190,Sensing,Verbal,Reflective,Sequential
191,Intuitive,Verbal,Active,Global
192,Intuitive,Visual,Reflective,Sequential
193,Intuitive,Visual,Reflective,Sequential
194,Sensing,Verbal,Active,Global
195,Intuitive,Visual,Active,Global
196,Intuitive,Visual,Active,Global
197,Sensing,Visual,Reflective,Global
198,Sensing,Visual,Reflective,Sequential
199,Intuitive,Verbal,Active,Global
200,Sensing,Verbal,Active,Sequential
201,Sensing,Visual,Reflective,Global
202,Intuitive,Verbal,Active,Sequential
203,Sensing,Visual,Active,Sequential
204,Sensing,Visual,Active,Global
205,Sensing,Visual,Active,Global
206,Sensing,Visual,Active,Global
207,Intuitive,Visual,Reflective,Global
208,Sensing,Visual,Reflective,Sequential
209,Sensing,Visual,Active,Sequential
210,Sensing,Visual,Reflective,Sequential
211,Intuitive,Verbal,Active,Global
212,Sensing,Visual,Active,Sequential
213,Intuitive,Verbal,Active,Global
214,Sensing,Verbal,Reflective,Global
215,Sensing,Visual,Active,Sequential
216,Sensing,Verbal,Reflective,Global
217,Intuitive,Verbal,Active,Sequential
218,Intuitive,Visual,Reflective,Sequential
219,Sensing,Visual,Active,Sequential
220,Intuitive,Visual,Reflective,Global
221,Intuitive,Verbal,Reflective,Global
222,Sensing,Visual,Reflective,Global
223,Intuitive,Verbal,Active,Global
224,Intuitive,Verbal,Reflective,Global
225,Intuitive,Visual,Reflective,Global
226,Intuitive,Visual,Reflective,Global
227,Sensing,Visual,Active,Sequential
228,Intuitive,Visual,Active,Global
229,Sensing,Visual,Active,Global
230,Sensing,Visual,Reflective,Global
231,Intuitive,Verbal,Reflective,Global
232,Intuitive,Verbal,Active,Sequential
233,Sensing,Verbal,Active,Global
234,Sensing,Visual,Reflective,Sequential
235,Intuitive,Verbal,Reflective,Global
236,Sensing,Verbal,Reflective,Global
237,Intuitive,Verbal,Reflective,Global
238,Intuitive,Visual,Reflective,Global
239,Intuitive,Verbal,Reflective,Sequential
240,Sensing,Verbal,Active,Global
241,Sensing,Visual,Reflective,Global
242,Intuitive,Visual,Reflective,Sequential
243,Intuitive,Verbal,Reflective,Sequential
244,Sensing,Verbal,Reflective,Sequential
245,Sensing,Visual,Active,Global
246,Sensing,Visual,Reflective,Global
247,Intuitive,Verbal,Reflective,Sequential
248,Intuitive,Verbal,Reflective,Sequential
249,Intuitive,Visual,Reflective,Global
250,Intuitive,Visual,Reflective,Sequential
251,Sensing,Verbal,Active,Sequential
252,Intuitive,Visual,Reflective,Sequential
253,Intuitive,Verbal,Active,Global
254,Sensing,Visual,Active,Sequential
255,Sensing,Verbal,Active,Global
256,Sensing,Verbal,Reflective,Sequential
257,Sensing,Visual,Active,Global
258,Intuitive,Verbal,Reflective,Sequential
259,Sensing,Visual,Reflective,Global
260,Sensing,Visual,Active,Global
261,Sensing,Verbal,Active,Sequential
262,Intuitive,Visual,Active,Sequential
263,Intuitive,Visual,Active,Global
264,Intuitive,Visual,Reflective,Global
265,Sensing,Verbal,Active,Global
266,Intuitive,Visual,Active,Global
267,Intuitive,Visual,Reflective,Global
268,Sensing,Visual,Active,Global
269,Intuitive,Verbal,Reflective,Global
270,Sensing,Visual,Reflective,Global
271,Intuitive,Verbal,Reflective,Sequential
272,Intuitive,Verbal,Reflective,Global
273,Sensing,Verbal,Reflective,Global
274,Intuitive,Verbal,Active,Global
275,Intuitive,Verbal,Reflective,Sequential
276,Sensing,Verbal,Active,Sequential
277,Intuitive,Verbal,Active,Global
278,Intuitive,Visual,Reflective,Sequential
279,Intuitive,Visual,Reflective,Global
280,Sensing,Verbal,Active,Sequential
281,Intuitive,Visual,Active,Global
282,Sensing,Verbal,Reflective,Global
283,Sensing,Verbal,Active,Global
284,Sensing,Verbal,Active,Sequential
285,Intuitive,Visual,Active,Sequential
286,Intuitive,Verbal,Active,Sequential
287,Sensing,Verbal,Reflective,Global
288,Sensing,Visual,Active,Sequential
289,Sensing,Visual,Reflective,Global
290,Sensing,Verbal,Reflective,Global
291,Sensing,Verbal,Reflective,Global
292,Intuitive,Visual,Active,Global
293,Intuitive,Visual,Active,Sequential
294,Intuitive,Verbal,Active,Sequential
295,Intuitive,Visual,Active,Sequential
296,Intuitive,Visual,Active,Global
297,Intuitive,Verbal,Reflective,Global
298,Intuitive,Visual,Active,Global
299,Intuitive,Visual,Active,Sequential
300,Intuitive,Verbal,Reflective,Sequential
301,Sensing,Visual,Reflective,Sequential
302,Sensing,Visual,Active,Global
303,Intuitive,Verbal,Reflective,Global
304,Sensing,Verbal,Active,Sequential
305,Sensing,Verbal,Reflective,Global
306,Intuitive,Verbal,Active,Sequential
307,Intuitive,Visual,Active,Global
308,Sensing,Verbal,Active,Sequential
309,Sensing,Visual,Active,Sequential
310,Intuitive,Visual,Reflective,Global
311,Sensing,Verbal,Reflective,Global
312,Sensing,Verbal,Reflective,Sequential
313,Sensing,Verbal,Reflective,Global
314,Sensing,Visual,Active,Sequential
315,Sensing,Verbal,Active,Global
316,Sensing,Verbal,Reflective,Sequential
317,Intuitive,Visual,Reflective,Global
318,Intuitive,Verbal,Active,Sequential
319,Intuitive,Visual,Reflective,Sequential
320,Sensing,Verbal,Active,Global
321,Intuitive,Visual,Active,Sequential
322,Intuitive,Verbal,Reflective,Global
323,Intuitive,Verbal,Reflective,Global
324,Intuitive,Visual,Active,Global
325,Intuitive,Verbal,Reflective,Sequential
326,Sensing,Verbal,Reflective,Global
327,Sensing,Verbal,Reflective,Sequential
328,Sensing,Visual,Reflective,Sequential
329,Intuitive,Visual,Reflective,Global
330,Intuitive,Visual,Active,Global
331,Sensing,Verbal,Reflective,Global
332,Intuitive,Visual,Reflective,Global
333,Intuitive,Verbal,Reflective,Sequential
334,Intuitive,Verbal,Active,Sequential
335,Intuitive,Visual,Reflective,Sequential
336,Intuitive,Visual,Reflective,Global
337,Sensing,Visual,Active,Sequential
338,Sensing,Verbal,Active,Sequential
339,Intuitive,Verbal,Active,Global
340,Sensing,Visual,Active,Global
341,Intuitive,Verbal,Active,Sequential
342,Intuitive,Verbal,Reflective,Global
343,Intuitive,Verbal,Reflective,Sequential
344,Intuitive,Verbal,Reflective,Sequential
345,Sensing,Verbal,Reflective,Global
346,Sensing,Visual,Active,Sequential
347,Intuitive,Visual,Reflective,Global
348,Intuitive,Verbal,Reflective,Global
349,Sensing,Visual,Reflective,Global
350,Intuitive,Verbal,Reflective,Global
351,Sensing,Visual,Reflective,Sequential
352,Intuitive,Visual,Active,Global
353,Intuitive,Verbal,Active,Sequential
354,Sensing,Verbal,Active,Sequential
355,Intuitive,Verbal,Reflective,Sequential
356,Sensing,Visual,Reflective,Global
357,Sensing,Visual,Active,Sequential
358,Intuitive,Visual,Reflective,Global
359,Sensing,Verbal,Reflective,Global
360,Sensing,Verbal,Reflective,Sequential
361,Sensing,Verbal,Active,Global
362,Sensing,Verbal,Active,Sequential
363,Sensing,Verbal,Active,Global
364,Sensing,Visual,Active,Global
365,Intuitive,Verbal,Reflective,Sequential
366,Sensing,Verbal,Reflective,Global
367,Sensing,Verbal,Reflective,Sequential
368,Intuitive,Verbal,Active,Sequential
369,Sensing,Visual,Reflective,Sequential
370,Sensing,Visual,Reflective,Sequential
371,Intuitive,Visual,Active,Global
372,Intuitive,Visual,Active,Sequential
373,Sensing,Verbal,Active,Sequential
374,Sensing,Verbal,Active,Global
375,Sensing,Visual,Reflective,Sequential
376,Intuitive,Verbal,Reflective,Global
377,Sensing,Verbal,Reflective,Sequential
378,Intuitive,Verbal,Reflective,Global
379,Sensing,Visual,Active,Sequential
380,Intuitive,Visual,Reflective,Sequential
381,Intuitive,Visual,Active,Sequential
382,Sensing,Verbal,Reflective,Sequential
383,Sensing,Verbal,Active,Sequential
384,Sensing,Verbal,Reflective,Global
385,Sensing,Verbal,Reflective,Sequential
386,Intuitive,Visual,Reflective,Sequential
387,Intuitive,Verbal,Active,Global
388,Intuitive,Verbal,Reflective,Global
389,Intuitive,Visual,Reflective,Sequential
390,Sensing,Visual,Reflective,Sequential
391,Intuitive,Visual,Reflective,Sequential
392,Sensing,Visual,Reflective,Global
393,Intuitive,Verbal,Active,Global
394,Intuitive,Visual,Active,Sequential
395,Sensing,Visual,Active,Global
396,Intuitive,Verbal,Active,Sequential
397,Sensing,Verbal,Reflective,Sequential
398,Intuitive,Verbal,Active,Global
399,Sensing,Visual,Reflective,Global
400,Intuitive,Verbal,Active,Sequential
401,Intuitive,Visual,Active,Sequential
402,Intuitive,Verbal,Reflective,Sequential
403,Intuitive,Verbal,Reflective,Global
404,Intuitive,Verbal,Reflective,Global
405,Sensing,Visual,Reflective,Global
406,Intuitive,Verbal,Active,Sequential
407,Sensing,Verbal,Reflective,Global
408,Intuitive,Visual,Active,Global
409,Sensing,Visual,Reflective,Global
410,Sensing,Visual,Active,Global
411,Intuitive,Visual,Reflective,Global
412,Intuitive,Verbal,Active,Global
413,Intuitive,Verbal,Active,Global
414,Intuitive,Verbal,Reflective,Sequential
415,Sensing,Verbal,Active,Global
416,Sensing,Visual,Reflective,Global
417,Sensing,Verbal,Reflective,Sequential
418,Sensing,Verbal,Reflective,Global
419,Sensing,Verbal,Reflective,Global
420,Intuitive,Verbal,Reflective,Sequential
421,Sensing,Verbal,Active,Sequential
422,Sensing,Visual,Reflective,Sequential
423,Sensing,Verbal,Reflective,Sequential
424,Sensing,Verbal,Reflective,Global
425,Sensing,Visual,Active,Global
426,Intuitive,Visual,Reflective,Sequential
427,Sensing,Verbal,Reflective,Global
428,Sensing,Visual,Active,Sequential
429,Intuitive,Verbal,Reflective,Sequential
430,Sensing,Verbal,Reflective,Global
431,Intuitive,Visual,Active,Sequential
432,Sensing,Visual,Reflective,Sequential
433,Intuitive,Visual,Reflective,Sequential
434,Sensing,Visual,Reflective,Global
435,Sensing,Verbal,Active,Global
436,Sensing,Visual,Reflective,Global
437,Intuitive,Verbal,Reflective,Sequential
438,Sensing,Verbal,Reflective,Global
439,Intuitive,Verbal,Reflective,Global
440,Sensing,Visual,Active,Global
441,Sensing,Verbal,Reflective,Sequential
442,Intuitive,Visual,Active,Sequential
443,Intuitive,Visual,Reflective,Sequential
444,Intuitive,Visual,Active,Global
445,Sensing,Verbal,Active,Global
446,Intuitive,Verbal,Active,Global
447,Intuitive,Visual,Reflective,Sequential
448,Intuitive,Verbal,Reflective,Global
449,Intuitive,Visual,Reflective,Sequential
450,Sensing,Verbal,Active,Sequential
451,Sensing,Visual,Reflective,Global
452,Sensing,Verbal,Reflective,Global
453,Intuitive,Verbal,Reflective,Global
454,Intuitive,Verbal,Active,Global
455,Intuitive,Visual,Reflective,Global
456,Intuitive,Visual,Reflective,Global
457,Sensing,Verbal,Active,Global
458,Intuitive,Visual,Active,Global
459,Sensing,Verbal,Active,Global
460,Sensing,Visual,Active,Sequential
461,Intuitive,Visual,Reflective,Global
462,Sensing,Verbal,Active,Global
463,Intuitive,Verbal,Active,Sequential
464,Intuitive,Visual,Reflective,Sequential
465,Sensing,Visual,Reflective,Sequential
466,Sensing,Visual,Active,Global
467,Intuitive,Verbal,Reflective,Sequential
468,Sensing,Verbal,Reflective,Global
469,Sensing,Visual,Active,Global
470,Sensing,Verbal,Reflective,Global
471,Intuitive,Visual,Reflective,Global
472,Intuitive,Verbal,Active,Sequential
473,Sensing,Visual,Reflective,Global
474,Intuitive,Verbal,Reflective,Sequential
475,Intuitive,Visual,Reflective,Sequential
476,Intuitive,Visual,Reflective,Global
477,Intuitive,Visual,Reflective,Global
478,Intuitive,Verbal,Active,Sequential
479,Sensing,Visual,Reflective,Global
480,Intuitive,Visual,Reflective,Global
481,Sensing,Visual,Reflective,Global
482,Sensing,Visual,Active,Global
483,Intuitive,Visual,Reflective,Global
484,Sensing,Visual,Active,Sequential
485,Sensing,Visual,Reflective,Sequential
486,Sensing,Verbal,Reflective,Global
487,Intuitive,Verbal,Active,Global
488,Intuitive,Visual,Reflective,Global
489,Sensing,Verbal,Active,Sequential
490,Intuitive,Verbal,Reflective,Sequential
491,Intuitive,Verbal,Active,Global
492,Sensing,Visual,Reflective,Sequential
493,Intuitive,Visual,Reflective,Sequential
494,Sensing,Verbal,Active,Sequential
495,Sensing,Verbal,Reflective,Global
496,Sensing,Visual,Reflective,Sequential
497,Intuitive,Visual,Active,Global
498,Intuitive,Verbal,Reflective,Sequential
499,Sensing,Visual,Reflective,Global
500,Sensing,Verbal,Reflective,Sequential
501,Sensing,Verbal,Reflective,Global
502,Sensing,Verbal,Reflective,Global
503,Intuitive,Verbal,Active,Global
504,Sensing,Visual,Reflective,Global
505,Sensing,Visual,Active,Global
506,Sensing,Visual,Reflective,Global
507,Sensing,Verbal,Reflective,Global
508,Sensing,Verbal,Reflective,Global
509,Intuitive,Visual,Reflective,Sequential
510,Sensing,Verbal,Active,Sequential
511,Sensing,Visual,Active,Global
512,Sensing,Verbal,Active,Sequential
513,Intuitive,Visual,Active,Global
514,Intuitive,Visual,Active,Sequential
515,Sensing,Verbal,Reflective,Global
516,Sensing,Verbal,Reflective,Global
517,Intuitive,Verbal,Active,Sequential
518,Sensing,Visual,Reflective,Global
519,Sensing,Visual,Active,Sequential
520,Intuitive,Verbal,Reflective,Global
521,Intuitive,Verbal,Active,Sequential
522,Sensing,Visual,Reflective,Sequential
523,Sensing,Verbal,Active,Sequential
524,Sensing,Verbal,Active,Sequential
525,Sensing,Visual,Reflective,Sequential
526,Sensing,Verbal,Active,Sequential
527,Intuitive,Visual,Reflective,Global
528,Sensing,Verbal,Reflective,Sequential
529,Sensing,Verbal,Reflective,Sequential
530,Sensing,Verbal,Reflective,Global
531,Intuitive,Visual,Reflective,Sequential
532,Intuitive,Verbal,Reflective,Global
533,Intuitive,Visual,Active,Global
534,Intuitive,Verbal,Active,Sequential
535,Sensing,Verbal,Active,Global
536,Intuitive,Visual,Active,Global
537,Intuitive,Verbal,Reflective,Sequential
538,Sensing,Visual,Active,Sequential
539,Intuitive,Verbal,Reflective,Global
540,Sensing,Verbal,Active,Sequential
541,Sensing,Visual,Active,Global
542,Sensing,Verbal,Active,Sequential
543,Intuitive,Visual,Active,Global
544,Sensing,Verbal,Active,Global
545,Sensing,Visual,Active,Sequential
546,Intuitive,Visual,Reflective,Sequential
547,Sensing,Visual,Reflective,Sequential
548,Sensing,Visual,Active,Global
549,Sensing,Verbal,Reflective,Sequential
550,Sensing,Verbal,Reflective,Global
551,Intuitive,Visual,Active,Sequential
552,Intuitive,Visual,Active,Sequential
553,Intuitive,Visual,Reflective,Global
554,Sensing,Visual,Active,Global
555,Sensing,Visual,Reflective,Global
556,Intuitive,Visual,Active,Global
557,Intuitive,Verbal,Reflective,Global
558,Sensing,Visual,Reflective,Global
559,Sensing,Verbal,Active,Sequential
560,Sensing,Visual,Active,Global
561,Sensing,Verbal,Active,Global
562,Intuitive,Verbal,Active,Global
563,Sensing,Visual,Active,Global
564,Intuitive,Visual,Active,Global
565,Sensing,Verbal,Reflective,Sequential
566,Intuitive,Verbal,Reflective,Sequential
567,Sensing,Visual,Active,Global
568,Sensing,Visual,Reflective,Global
569,Sensing,Verbal,Reflective,Global
570,Sensing,Verbal,Reflective,Global
571,Intuitive,Verbal,Active,Global
572,Intuitive,Verbal,Reflective,Sequential
573,Intuitive,Visual,Active,Global
574,Intuitive,Verbal,Active,Global
575,Intuitive,Verbal,Reflective,Sequential
576,Sensing,Verbal,Active,Sequential
577,Intuitive,Verbal,Reflective,Global
578,Intuitive,Visual,Active,Global
579,Sensing,Verbal,Reflective,Sequential
580,Intuitive,Verbal,Reflective,Sequential
581,Sensing,Visual,Reflective,Sequential
582,Intuitive,Verbal,Reflective,Global
583,Sensing,Verbal,Active,Global
584,Sensing,Verbal,Reflective,Sequential
585,Intuitive,Verbal,Reflective,Sequential
586,Intuitive,Verbal,Active,Global
587,Sensing,Verbal,Reflective,Global
588,Sensing,Verbal,Active,Sequential
589,Intuitive,Visual,Active,Sequential
590,Intuitive,Verbal,Reflective,Global
591,Intuitive,Verbal,Active,Sequential
592,Sensing,Visual,Reflective,Sequential
593,Intuitive,Visual,Reflective,Sequential
594,Intuitive,Visual,Reflective,Sequential
595,Sensing,Verbal,Reflective,Sequential
596,Intuitive,Verbal,Reflective,Global
597,Sensing,Visual,Reflective,Sequential
598,Intuitive,Visual,Active,Sequential
599,Intuitive,Verbal,Reflective,Sequential
600,Intuitive,Verbal,Active,Sequential
601,Sensing,Verbal,Reflective,Sequential
602,Intuitive,Visual,Active,Sequential
603,Intuitive,Verbal,Active,Sequential
604,Sensing,Visual,Active,Sequential
605,Sensing,Visual,Reflective,Global
606,Sensing,Visual,Reflective,Global
607,Sensing,Visual,Reflective,Global
608,Sensing,Visual,Reflective,Sequential
609,Intuitive,Verbal,Reflective,Sequential
610,Intuitive,Visual,Active,Global
611,Sensing,Verbal,Reflective,Global
612,Intuitive,Verbal,Active,Global
613,Sensing,Verbal,Active,Sequential
614,Sensing,Visual,Active,Global
615,Sensing,Verbal,Active,Global
616,Intuitive,Verbal,Reflective,Global
617,Sensing,Verbal,Reflective,Sequential
618,Intuitive,Verbal,Reflective,Global
619,Sensing,Visual,Active,Global
620,Intuitive,Verbal,Active,Global
621,Sensing,Verbal,Reflective,Sequential
622,Sensing,Visual,Reflective,Sequential
623,Sensing,Verbal,Reflective,Global
624,Intuitive,Verbal,Reflective,Sequential
625,Intuitive,Visual,Reflective,Sequential
626,Intuitive,Visual,Reflective,Global
627,Sensing,Verbal,Reflective,Global
628,Sensing,Visual,Active,Global
629,Sensing,Visual,Active,Global
630,Sensing,Verbal,Active,Sequential
631,Intuitive,Verbal,Active,Sequential
632,Sensing,Visual,Reflective,Global
633,Intuitive,Verbal,Active,Sequential
634,Intuitive,Visual,Active,Sequential
635,Intuitive,Verbal,Reflective,Sequential
636,Intuitive,Visual,Reflective,Sequential
637,Intuitive,Visual,Active,Sequential
638,Intuitive,Verbal,Reflective,Global
639,Intuitive,Visual,Active,Global
640,Sensing,Verbal,Active,Sequential
641,Sensing,Visual,Reflective,Sequential
642,Sensing,Visual,Active,Global
643,Sensing,Visual,Active,Sequential
644,Sensing,Visual,Reflective,Global
645,Sensing,Visual,Reflective,Sequential
646,Intuitive,Visual,Active,Global
647,Sensing,Verbal,Active,Sequential
648,Intuitive,Verbal,Active,Global
649,Intuitive,Visual,Active,Sequential
650,Sensing,Visual,Reflective,Sequential
651,Intuitive,Verbal,Active,Sequential
652,Sensing,Verbal,Reflective,Global
653,Sensing,Verbal,Reflective,Sequential
654,Intuitive,Verbal,Reflective,Global
655,Sensing,Visual,Reflective,Global
656,Sensing,Visual,Reflective,Global
657,Intuitive,Verbal,Active,Sequential
658,Sensing,Verbal,Reflective,Global
659,Sensing,Verbal,Reflective,Sequential
660,Sensing,Visual,Active,Sequential
661,Sensing,Visual,Active,Sequential
662,Intuitive,Verbal,Reflective,Sequential
663,Sensing,Visual,Active,Global
664,Sensing,Verbal,Active,Global
665,Sensing,Verbal,Reflective,Sequential
666,Intuitive,Verbal,Active,Sequential
667,Sensing,Verbal,Reflective,Sequential
668,Intuitive,Visual,Reflective,Global
669,Sensing,Visual,Active,Sequential
670,Intuitive,Visual,Active,Global
671,Sensing,Visual,Active,Global
672,Sensing,Visual,Reflective,Sequential
673,Sensing,Visual,Reflective,Sequential
674,Intuitive,Verbal,Active,Global
675,Sensing,Verbal,Reflective,Global
676,Intuitive,Visual,Active,Global
677,Sensing,Visual,Reflective,Sequential
678,Sensing,Visual,Reflective,Global
679,Intuitive,Visual,Active,Global
680,Intuitive,Visual,Active,Sequential
681,Intuitive,Verbal,Active,Global
682,Sensing,Verbal,Active,Sequential
683,Intuitive,Verbal,Active,Sequential
684,Intuitive,Visual,Active,Global
685,Intuitive,Visual,Active,Sequential
686,Sensing,Verbal,Reflective,Sequential
687,Sensing,Visual,Reflective,Sequential
688,Sensing,Visual,Active,Sequential
689,Intuitive,Visual,Reflective,Global
690,Sensing,Visual,Reflective,Sequential
691,Intuitive,Visual,Active,Global
692,Intuitive,Visual,Reflective,Global
693,Intuitive,Verbal,Active,Global
694,Sensing,Visual,Reflective,Global
695,Intuitive,Visual,Reflective,Global
696,Intuitive,Visual,Reflective,Sequential
697,Sensing,Visual,Reflective,Sequential
